id,name,tags,tags_json,category_id,brand_id
91bc7157-6fb1-477c-a6d0-dd5e4ada4edf,MORE LIFE MIRROR,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
80717018-8d9f-48b9-b250-6d19c583d6ff,FROSTED HOOP - (GOLD PIERCED),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
acd2a3cc-f5d2-4c82-b4a2-2d787e464d91,PRESSING HOOP (BLACK UNPIERCED),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
509aec6b-2a28-48e7-bf28-e8ab2ae4002b,SPARTAN PENDANT WITH CHAIN,Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
56403350-806e-4231-9f7f-ec8012e12a4c,MICRO FLAT TWISTED BRACELET (GOLD),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
8f5022b0-0b64-4ad9-882f-f8fac94e9e4a,MICRO PULSE BRACELET (SILVER),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
25a1dac3-2626-4249-92fb-fd124d45671f,Neith - Green & Cork,Vegan Leather|Women Owned,"[{""name"": ""Vegan Leather"", ""slug"": ""vegan-leather"", ""color"": ""blue"", ""description"": ""Vegan Leather""}, {""name"": ""Women Owned"", ""slug"": ""women-owned"", ""color"": ""pink"", ""description"": ""Brands owned by Women""}]",eb232420-804d-4165-9cbe-8266ababcbee,915a7c0b-6db5-415a-bf8a-c32f573e9be3
2b34beb7-a7a0-4a58-88cd-c4e4c375a6f3,BOX CHAIN (SILVER),Jewellery|Aesthetic,"[{""name"": ""Jewellery"", ""slug"": ""jewellery"", ""color"": ""Purple"", ""description"": ""Jewellery""}, {""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",eb232420-804d-4165-9cbe-8266ababcbee,add0588c-9141-496a-90c0-b2e3053342b2
8e331968-7b62-4e9b-a910-7af562382eff,Sustainable Vegan Leather Passport Holder - Tan,Vegan Leather|Women Owned,"[{""name"": ""Vegan Leather"", ""slug"": ""vegan-leather"", ""color"": ""blue"", ""description"": ""Vegan Leather""}, {""name"": ""Women Owned"", ""slug"": ""women-owned"", ""color"": ""pink"", ""description"": ""Brands owned by Women""}]",eb232420-804d-4165-9cbe-8266ababcbee,915a7c0b-6db5-415a-bf8a-c32f573e9be3
23baf98e-e970-4b26-9989-bcde02f1a80c,VINYL RECORDS - ROCK,Aesthetic,"[{""name"": ""Aesthetic"", ""slug"": ""aesthetic"", ""color"": ""Red"", ""description"": ""Aesthetic""}]",0181774c-41c6-439d-8d53-75c3848e2a54,ede98d11-07c8-4a2c-a827-7e370f566e01
