id,name,price,final_price,discount,is_discounted,brand_id,category_id,tags,image_count,video_count,view_count,vote_count,is_active,is_discoverable
339bc74c-0396-42f1-8969-2472c7fce88a,SUZETTE Travel Pouch (Cacao),699,594.15,15,TRUE,48ccd874-b1cd-4805-b0cc-d6fa863b1212,2744b95e-36ee-4abb-b896-225a7d22d728,Made in India|Unisex|Hand Made,9,0,100,0,TRUE,TRUE
dc7bec2e-53db-4380-878e-e5f0a31f6eaf,Nox Table lamp,2297,2067.3,10,TRUE,d3a3ce86-b6cd-4cd6-ae26-7d2f443fc0fe,0181774c-41c6-439d-8d53-75c3848e2a54,3-D Printed,4,0,99,1,TRUE,TRUE
b777a8e2-6a49-46fd-8338-5237c32ce06f,OCEANIC | Raw Precision,20000,20000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,8,0,98,0,TRUE,TRUE
70c19da2-aa12-4978-a6b7-d84975c30dbb,MICRO ROUND BRACELET  (SILVER),599,539.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,4,0,96,0,TRUE,TRUE
88bc4c6d-9380-492a-b8f8-59f09f7c75dd,SUZETTE Travel Pouch (Forest),699,594.15,15,TRUE,48ccd874-b1cd-4805-b0cc-d6fa863b1212,2744b95e-36ee-4abb-b896-225a7d22d728,Made in India|Unisex|Hand Made,5,0,96,0,TRUE,TRUE
b8200ba7-c3a7-4ae7-a025-dd6740d1dd01,VECTOR | Mechanical Spirit,25000,25000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,4,0,95,1,TRUE,TRUE
96bc9376-8d3e-441d-ac99-8de878412202,Strobe Dual Handle Bag - Denim,2650,2252.5,15,TRUE,bbba5e22-61f6-4581-bf09-5c131c65600e,2744b95e-36ee-4abb-b896-225a7d22d728,Homegrown Brand|Recycled Materials,9,0,94,0,TRUE,TRUE
c7a289d6-da69-46c6-9fab-ac8018da36fd,Gibbosa Fungus Shelf,1350,1215,10,TRUE,d3a3ce86-b6cd-4cd6-ae26-7d2f443fc0fe,0181774c-41c6-439d-8d53-75c3848e2a54,Durable|Lightweight,4,0,94,1,TRUE,TRUE
acafaebd-3da4-47fb-bdd1-62843c68f111,SHAW Tote Bag (Cacao),2093,1779.05,15,TRUE,48ccd874-b1cd-4805-b0cc-d6fa863b1212,2744b95e-36ee-4abb-b896-225a7d22d728,Made in India|Unisex|Hand Made,9,0,93,0,TRUE,TRUE
a7cc2122-ea5c-40a5-a1fb-c44ddd587162,UpUrFit x Jonty Rhodes Cricket Recovery Kit,999,749.25,25,TRUE,cf74e236-aa08-4c8f-beec-873932760bc4,ba4ed8a0-5dac-4390-bc61-9446e374ab3b,Smash Your Goals,10,0,90,1,TRUE,TRUE
85dd34ae-bfb5-41bc-b02d-bfd1c1d8841b,MICRO LINK BRACELET (SILVER),599,539.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,2,0,90,0,TRUE,TRUE
6a9ad061-4bd3-4f8a-b63d-0d04428ed375,THIN CUBAN CHAIN (SILVER),799,719.1,10,TRUE,add0588c-9141-496a-90c0-b2e3053342b2,eb232420-804d-4165-9cbe-8266ababcbee,Jewellery|Aesthetic,5,0,85,0,TRUE,TRUE
4da74326-dc2f-4d17-baa4-2432309076f5,DUAL | Modern Classic,15000,15000,0,FALSE,9902a5bd-fcd4-4f40-9d81-7d464b5c6b47,20640a30-9228-4b69-91db-024c45920487,Luxury ,4,0,84,0,TRUE,TRUE
