id,name,view_count,tape_view_count,vote_count,is_upvoted,created_on,launched_on
b22f0953-8c5c-47ac-908b-6863a3ab006e,DIY Solar Printing Cyanotype Kit,2072,0,32,FALSE,2025-04-14T16:45:08.081,2025-04-12T16:49:00
5292e413-b25d-42f2-888e-d0ddc1cc6077,FORMULA 1 WALL COLLAGE POSTERS,2060,0,23,FALSE,2025-04-22T20:26:10.894,2025-04-10T20:34:00
1284e64d-7af9-412a-8559-440a9fad331e,Truffle Potato Chips Party Pack,2052,0,10,FALSE,2025-05-28T20:25:48.115,2025-05-28T20:42:00
7b70c89b-7dcc-45a3-8c38-f6a884aa6c98,DIY UV Resin Pendant Kit,1916,0,11,FALSE,2025-04-14T17:01:06.189,2025-04-14T17:11:00
4bcdb008-36f2-4900-a357-41d1498d6ec3,MEMENTO MORI | LIFE CALENDER - METAL FRAME,1845,0,7,FALSE,2025-06-13T18:12:03.491,2025-06-12T18:27:00
bbc61490-af31-4942-a60e-a868171335c1,Litele Duo – A Smart Lamp That Understands You 💡✨,1821,0,21,FALSE,2025-03-26T17:36:00.982,2025-03-08T17:39:00
880502ef-432e-40cc-afa5-476602c45a5a,Red Bull Ring F1 Track 3D Wall Frame,1814,0,6,FALSE,2025-06-02T12:32:38.933,2025-06-16T07:13:00
cd4cb95d-e254-43a4-b36d-d8303768bf26,The Perfect Set - Ruby & Morganite Body Serum Candles,1804,0,20,FALSE,2025-04-13T18:43:50.562,2025-04-08T18:51:00
30d70fbd-ed24-4006-8cf6-7f90625b3555,SPACEWAVE AESTHETIC - WALL COLLAGE POSTERS,1775,0,2,FALSE,2025-06-09T08:56:24.422,2025-06-10T09:08:00
b1375837-0f70-48a8-86e2-f6e2f0b71db7,Put This On & Become a Merc with a Mouth (Minus the Healing Factor... Sorry!),1761,0,9,FALSE,2025-03-20T07:14:39.14,2025-03-06T07:22:00
38735211-78a8-4c7c-8270-8e37459bf1de,VINTAGE ADVERTISEMENTS Wall Posters,1621,0,12,FALSE,2025-05-07T18:52:22.965,2025-05-06T20:37:00
1f2cf741-740e-48ce-8ad3-c80377470fc6,Aquatein Protein Water - 10g of Pure Protein,1611,0,5,FALSE,2025-07-09T13:13:41.742,2025-07-09T13:25:00
52eafcd4-8828-4158-91eb-68893ded4529,BROWNIE NACHOS (50G PACK),1605,0,10,FALSE,2025-06-09T09:26:27.405,2025-06-05T09:40:00
